matcher,probe_record_id,probe_sample_id,probe_identity,rank_of_true_identity,rank_1_hit,gallery_size,ranking_strategy,samples_per_gallery,aggregation_method,top_5_identities
sgmnet-fingervein,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;saadi;wisam;ameina;yaseen
sgmnet,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;marwan;wisam;yaseen;ameina
aspanformer,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;wisam;saadi;ameina;kamal
deepdetect,156,AMF-Iris::adnan::6::Left,adnan,1,True,50,cascade,multiple,mean,adnan;kamal;mohamad;daood;marwan
loftr,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;salam;arwa;assem;maria
orb-fingervein,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;khalid;sirag;maria;saadi
orb,160,AMF-Iris::mazin::6::Left,mazin,10,False,50,cascade,multiple,mean,saadi;sirag;ali;ayad;kareem
sift-fingervein,160,AMF-Iris::mazin::6::Left,mazin,2,False,50,cascade,multiple,mean,ali;mazin;ayad;zakaria;salam
sift,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;saadi;sirag;ali;ayad
superglue-fingervein,160,AMF-Iris::mazin::6::Left,mazin,2,False,50,cascade,multiple,mean,arwa;mazin;ali;salam;elaf
superglue,160,AMF-Iris::mazin::6::Left,mazin,8,False,50,cascade,multiple,mean,fars;khalid;saadi;ayad;elaf
sgmnet-fingervein,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;arwa;fars;ali;kareem
sgmnet,160,AMF-Iris::mazin::6::Left,mazin,2,False,50,cascade,multiple,mean,arwa;mazin;maria;kareem;assem
aspanformer,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;salam;saadi;elaf;ali
deepdetect,160,AMF-Iris::mazin::6::Left,mazin,1,True,50,cascade,multiple,mean,mazin;khalid;salam;arwa;zaid
loftr,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;abas;wathah;baydaa;assem
orb-fingervein,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;assem;saadi;ahmed;abas
orb,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;ahmed;saadi;ameina;abas
sift-fingervein,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;saldar;ali;wisam;wathah
sift,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;basam;assem;ahmed;saadi
superglue-fingervein,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;wathah;maria;wisam;abas
superglue,164,AMF-Iris::yaseen::2::Left,yaseen,4,False,50,cascade,multiple,mean,wisam;ahmed;saldar;yaseen;wathah
sgmnet-fingervein,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;saldar;kareem;ameina;ali
sgmnet,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;ameina;wathah;ali;saldar
aspanformer,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;wathah;baydaa;abas;maria
deepdetect,164,AMF-Iris::yaseen::2::Left,yaseen,1,True,50,cascade,multiple,mean,yaseen;assem;abas;ahmed;daood
loftr,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;khalid;ameina;rafa;ameer
orb-fingervein,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;abeer;ameer;maria;muhand
orb,168,AMF-Iris::loai::4::Left,loai,11,False,50,cascade,multiple,mean,saadi;ameina;abas;ameer;rafa
sift-fingervein,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;assem;rafa;asmaa;hamza
sift,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;assem;saadi;ameina;abas
superglue-fingervein,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;rafa;abeer;saadi;khalid
superglue,168,AMF-Iris::loai::4::Left,loai,4,False,50,cascade,multiple,mean,huda;saadi;assem;loai;abeer
sgmnet-fingervein,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;taha;ameina;abeer;huda
sgmnet,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;taha;abas;abeer;saadi
aspanformer,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;khalid;rafa;assem;hamza
deepdetect,168,AMF-Iris::loai::4::Left,loai,1,True,50,cascade,multiple,mean,loai;ameer;muhand;rafa;abeer
loftr,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;assem;abas;daood;muhand
orb-fingervein,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;ameina;aadil;basam;saadi
orb,172,AMF-Iris::huda::0::Left,huda,14,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;aadil;abas;sirag;abeer
sift,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;saadi;ameina;abas;wathah
superglue-fingervein,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;salam;aadil;assem;daood
superglue,172,AMF-Iris::huda::0::Left,huda,2,False,50,cascade,multiple,mean,saadi;huda;aadil;kamal;abas
sgmnet-fingervein,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;basam;ameina;wathah;abas
sgmnet,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;kamal;ameina;abas;wathah
aspanformer,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;abeer;daood;muhand;assem
deepdetect,172,AMF-Iris::huda::0::Left,huda,1,True,50,cascade,multiple,mean,huda;salam;aadil;daood;abas
loftr,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;khaleel;zaid;israa;mohamad
orb-fingervein,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;mohamad;khaleel;khalid;adnan
orb,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;adnan;abas;mohamad;khaleel
sift-fingervein,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;yaseen;khalid;hamza;abas
sift,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;khaleel;abas;mohamad;ayad
superglue-fingervein,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;adnan;hamza;khaleel;abas
superglue,176,AMF-Iris::assem::6::Left,assem,6,False,50,cascade,multiple,mean,ayad;mohamad;israa;tabarak;yaseen
sgmnet-fingervein,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;adnan;asmaa;israa;ayad
sgmnet,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;adnan;tabarak;israa;abas
aspanformer,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;israa;khaleel;zaid;taha
deepdetect,176,AMF-Iris::assem::6::Left,assem,1,True,50,cascade,multiple,mean,assem;adnan;israa;yaseen;mohamad
loftr,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;ameina;ameer;tabarak;marwan
orb-fingervein,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;rasha;ameina;tabarak;ayad
orb,180,AMF-Iris::arwa::2::Left,arwa,2,False,50,cascade,multiple,mean,rasha;arwa;ameina;tabarak;huda
sift-fingervein,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;wathah;rasha;marwan;ayad
sift,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;saadi;ameina;abas;wathah
superglue-fingervein,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;marwan;ayad;daood;huda
superglue,180,AMF-Iris::arwa::2::Left,arwa,10,False,50,cascade,multiple,mean,ameer;daood;saadi;rasha;israa
sgmnet-fingervein,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;saadi;huda;israa;marwan
sgmnet,180,AMF-Iris::arwa::2::Left,arwa,3,False,50,cascade,multiple,mean,huda;saadi;arwa;israa;wathah
aspanformer,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;ameer;wathah;tabarak;saadi
deepdetect,180,AMF-Iris::arwa::2::Left,arwa,1,True,50,cascade,multiple,mean,arwa;ameer;tabarak;wathah;ameina
loftr,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;zahraa;wathah;yaseen;kareem
orb-fingervein,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;asmaa;wathah;tabarak;daood
orb,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;kareem;saadi;wathah;daood
sift-fingervein,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;tabarak;hamza;kareem;assem
sift,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;yaseen;saadi;wathah;daood
superglue-fingervein,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;zahraa;wathah;zafer;zakaria
superglue,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;kareem;zakaria;muhand;wathah
sgmnet-fingervein,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;marwan;yaseen;daood;asmaa
sgmnet,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;marwan;kareem;hamza;wathah
aspanformer,184,AMF-Iris::khalid::6::Left,khalid,1,True,50,cascade,multiple,mean,khalid;wathah;zafer;yaseen;assem
deepdetect,184,AMF-Iris::khalid::6::Left,khalid,2,False,50,cascade,multiple,mean,daood;khalid;wathah;yaseen;zahraa
loftr,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;wathah;aziz;abas;huda
orb-fingervein,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;aziz;ameer;azam;anas
orb,188,AMF-Iris::maria::4::Left,maria,15,False,50,cascade,multiple,mean,saadi;ameina;abas;wathah;daood
sift-fingervein,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;fuaad;ameer;saadi;ameina
sift,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;saadi;ameina;abas;wathah
superglue-fingervein,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;abas;wathah;saadi;mazin
superglue,188,AMF-Iris::maria::4::Left,maria,2,False,50,cascade,multiple,mean,fuaad;maria;daood;mazin;huda
sgmnet-fingervein,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;wathah;sirag;saadi;abas
sgmnet,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;sirag;saadi;ameina;anas
aspanformer,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;wathah;abas;ameina;saadi
deepdetect,188,AMF-Iris::maria::4::Left,maria,1,True,50,cascade,multiple,mean,maria;daood;basam;anas;ameer
loftr,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;marwan;mazin;zaid;basam
orb-fingervein,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;ameina;kareem;omar;arwa
orb,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;ameina;marwan;zaid;arwa
sift-fingervein,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;mazin;abas;hamza;basam
sift,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;abeer;asmaa;ameina;abas
superglue-fingervein,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;mazin;abeer;basam;marwan
superglue,192,AMF-Iris::baydaa::6::Left,baydaa,8,False,50,cascade,multiple,mean,kareem;abas;marwan;abeer;arwa
sgmnet-fingervein,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;arwa;marwan;kareem;hamza
sgmnet,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;arwa;hamza;marwan;ameina
aspanformer,192,AMF-Iris::baydaa::6::Left,baydaa,1,True,50,cascade,multiple,mean,baydaa;abeer;basam;omar;zaid
deepdetect,192,AMF-Iris::baydaa::6::Left,baydaa,2,False,50,cascade,multiple,mean,marwan;baydaa;asmaa;mazin;basam
loftr,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;tabarak;saadi;khaleel;salam
orb-fingervein,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;assem;ameina;khaleel;elaf
orb,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;assem;saadi;ameina;abas
sift-fingervein,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;ameer;salam;abas;elaf
sift,196,AMF-Iris::wisam::8::Left,wisam,15,False,50,cascade,multiple,mean,ahmed;saadi;ameina;abas;wathah
superglue-fingervein,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;aziz;khaleel;salam;assem
superglue,196,AMF-Iris::wisam::8::Left,wisam,11,False,50,cascade,multiple,mean,basam;ahmed;assem;ameina;aziz
sgmnet-fingervein,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;ameina;abas;elaf;wathah
sgmnet,196,AMF-Iris::wisam::8::Left,wisam,7,False,50,cascade,multiple,mean,abas;wathah;aziz;ameer;assem
aspanformer,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;ameer;khaleel;assem;saadi
deepdetect,196,AMF-Iris::wisam::8::Left,wisam,1,True,50,cascade,multiple,mean,wisam;ameina;daood;saadi;abas
loftr,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;yaseen;abas;aadil;zaid
orb-fingervein,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;adnan;aadil;saadi;taha
orb,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;saadi;ameina;abas;basam
sift-fingervein,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;ameer;basam;hamza;yaseen
sift,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;aziz;saadi;ameina;abas
superglue-fingervein,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;wisam;taha;saadi;basam
superglue,200,AMF-Iris::fars::6::Left,fars,5,False,50,cascade,multiple,mean,taha;saadi;basam;mazin;fars
sgmnet-fingervein,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;wisam;mazin;saadi;taha
sgmnet,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;mazin;wisam;zaid;ameer
aspanformer,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;abas;aziz;taha;yaseen
deepdetect,200,AMF-Iris::fars::6::Left,fars,1,True,50,cascade,multiple,mean,fars;ameer;basam;ameina;adnan
